Date,Company,Title,Location,Description,Level,Type,Function,Industry,Link
2022-09-18,Allegheny Health Network,Data Analyst Senior,"Pittsburgh, PA","Company : Allegheny Health Network Job Description :

GENERAL OVERVIEW:

Facilitates activities to improve patient safety and optimal clinical outcomes within the acute care setting; provides advanced level reporting and analyses to support process improvement; designs and implements reports, analyzes data, and monitors statistical information to promote and guide quality and cost-effective care; projects include, but are not limited to physician profiling, length-of-stay initiatives, clinical resource management initiatives, clinical pathways, and unit-based performance improvement.

ESSENTIAL RESPONSIBILITIES:


QUALIFICATIONS:

Minimum













Highmark Health and its affiliates prohibit discrimination against qualified individuals based on their status as protected veterans or individuals with disabilities, and prohibit discrimination against all individuals based on their race, color, age, religion, sex, national origin, sexual orientation/gender identity or any other category protected by applicable federal, state or local law. Highmark Health and its affiliates take affirmative action to employ and advance in employment individuals without regard to race, color, age, religion, sex, national origin, sexual orientation/gender identity, protected veteran status or disability.

EEO is The Law

Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled/Sexual Orientation/Gender Identity ( )

We endeavor to make this site accessible to any and all users. If you would like to contact us regarding the accessibility of our website or need assistance completing the application process, please contact number below.

For accommodation requests, please contact HR Services Online at HRServices@highmarkhealth.org

California Consumer Privacy Act Employees, Contractors, and Applicants Notice",Mid-Senior level,Full-time,Information Technology,Medical Practices,https://www.linkedin.com/jobs/view/data-analyst-senior-at-allegheny-health-network-3335178766?refId=ishp48tN%2F38FWw3Cyk0vow%3D%3D&trackingId=jx3nFL%2FS0zHiwTkxD%2FQ2SA%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
2022-09-18,Highmark Wholecare,Data and Analytics - Undergraduate Intern.,"Pittsburgh, PA","Company : Highmark Wholecare Job Description :

Summary Of Job Responsibilities

This job has the goal of providing the opportunity to acquire practical experience through direct exposure to the related business line(s) and to develop the next generation of diverse business professionals. To that end, the program will provide hands-on training and experience in the business line, expose the various career opportunities in the business line and related areas, and prepare participants for positions in the business.

Typical responsibilities include, providing services to the day-to-day operating objectives of the assigned area, participating in projects and programs appropriate to the needs of the assigned area, participating in the planning and implementation of projects and initiatives, conducting research and reporting including recommendations or proposals for action.














As a component of job responsibilities, employees may have access to covered information, cardholder data, or other confidential customer information that must be protected at all times. In connection with this, all employees must comply with both the Health Insurance Portability Accountability Act of 1996 (HIPAA) as described in the Notice of Privacy Practices and Privacy Policies and Procedures as well as all data security guidelines established within the Company’s Handbook of Privacy Policies and Practices and Information Security Policy. Furthermore, it is every employee’s responsibility to comply with the company’s Code of Business Conduct. This includes but is not limited to adherence to applicable federal and state laws, rules, and regulations as well as company policies and training requirements.

Highmark Health and its affiliates prohibit discrimination against qualified individuals based on their status as protected veterans or individuals with disabilities, and prohibit discrimination against all individuals based on their race, color, age, religion, sex, national origin, sexual orientation/gender identity or any other category protected by applicable federal, state or local law. Highmark Health and its affiliates take affirmative action to employ and advance in employment individuals without regard to race, color, age, religion, sex, national origin, sexual orientation/gender identity, protected veteran status or disability.

EEO is The Law

Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled/Sexual Orientation/Gender Identity ( )

We endeavor to make this site accessible to any and all users. If you would like to contact us regarding the accessibility of our website or need assistance completing the application process, please contact number below.

For accommodation requests, please contact HR Services Online at HRServices@highmarkhealth.org

California Consumer Privacy Act Employees, Contractors, and Applicants Notice",Internship,Part-time,Information Technology,Hospitals and Health Care,https://www.linkedin.com/jobs/view/data-and-analytics-undergraduate-intern-at-highmark-wholecare-3325646219?refId=ishp48tN%2F38FWw3Cyk0vow%3D%3D&trackingId=X8W1XsPASM3MTIoGyCsESQ%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
2022-09-18,Alcoa,Data Management Analyst - Remote,"Pittsburgh, PA","Just as aluminum is the element of possibility, so too, are our current and future employees. We relentlessly pursue outstanding and sustainable results and creatively transform ideas into value. At Alcoa you can quickly make your mark, impact your world and grow your career. Alcoa is a truly global company with many locations worldwide. Alcoa’s U.S. portfolio includes Alcoa's corporate headquarters (ACC), Alcoa's Technology Center (ATC), four smelters, hydroelectric power and a calcined coke plant. While some roles are based on-site, Alcoa also offers a flexible working model for certain positions. Come learn what’s possible for you!


As a Enterprise Data Management Analyst in the Data Hub organization this role will be responsible for delivering Data Governance within an Enterprise Data Management function. Their scope is Alcoa wide and will interact with both the Enterprise & Operations Spokes that have the responsibility for delivery of Data Management & Analytics solutions to their respective enterprise and operations customers.

We are also seeking experience in Enterprise Data Management governance and tools that include the areas of master data management, metadata and cataloging, data quality and compliance and data governance including policy creation covering data access and retention.",Mid-Senior level,Full-time,Information Technology,Mining,https://www.linkedin.com/jobs/view/data-management-analyst-remote-at-alcoa-3305811389?refId=ishp48tN%2F38FWw3Cyk0vow%3D%3D&trackingId=%2FepAroLyCpGWcVwBzicqNw%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
2022-09-18,TELUS International,Online Data Analyst,"Pittsburgh, PA","TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer",Entry level,Contract,"Analyst, Information Technology, and Other",IT Services and IT Consulting,https://www.linkedin.com/jobs/view/online-data-analyst-at-telus-international-3334451622?refId=ishp48tN%2F38FWw3Cyk0vow%3D%3D&trackingId=%2F3L0aX7MCt1aaSJcf15o2w%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
2022-09-18,UPMC,Clinical Data Analyst,"Pittsburgh, PA","Purpose

Description

The Clinical Data Analyst designs, analyzes and presents analytical solutions to multidisciplinary teams including but not limited to physicians, administrators, and organizational leaders, summarizing population characteristics and outcomes to support data-based decision making throughout the organization to improve elements such as patient care, clinical outcomes, and operational throughput. Reporting specifications to be provided by requesting audience, and subsequently discussed within interdepartmental team meetings. Various clinical and administrative systems will be used as the data sources, including but not limited to Epic, Cerner and Medipac. Final aggregation and presentation will be completed through various software packages, including SQL Developer, Qlik and Cognos. The Clinical Data Analyst must ensure reporting logic is accurate and sound by comparing analytical output to data within the source systems, as well as through cross validation to base reports under the direction of the Expert Clinical Data Analyst. The Clinical Data Analyst must be able to work both independently as well as in a team setting.







Individuals hired into this role must comply with UPMC’s COVID vaccination requirements upon beginning employment with UPMC. Refer to the COVID-19 Vaccination Information section at the top of this page to learn more.

UPMC has a Center for Engagement and Inclusion that is charged with executing leading-edge and next-generation diversity strategies to advance the organization’s diversity management capability and its national presence as a diversity leader. This includes having Employee Resource Groups, such as PRIDE Health or UPMC ENABLED (Empowering Abilities and Leveraging Differences) Network, which support the implementation of our diversity strategy.

Total Rewards

More than just competitive pay and benefits, UPMC’s Total Rewards package cares for you in all areas of life — because we believe that you’re at your best when receiving the support you need: professional, personal, financial, and more.

Our Values

At UPMC, we’re driven by shared values that guide our work and keep us accountable to one another. Our Values of Quality & Safety, Dignity & Respect, Caring & Listening, Responsibility & Integrity, Excellence & Innovation play a vital role in creating a cohesive, positive experience for our employees, patients, health plan members, and community. Ready to join us? Apply today.",Mid-Senior level,Full-time,Information Technology,Hospitals,https://www.linkedin.com/jobs/view/clinical-data-analyst-at-upmc-3344174456?refId=ishp48tN%2F38FWw3Cyk0vow%3D%3D&trackingId=WrSMSoZqec1uEhCCdWIT4g%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
2022-09-18,CGI,Business Analyst/Data Analyst,"Pittsburgh, PA","Position Description

Position Description

FUTURE DUTIES AND RESPONSIBILITIES

Must have skills

 Good banking experience (like CCAR, CECL, SCCL, Basel etc.)

 Risk and Regulatory exp is must

 Knowledge of AXIOM tool – good to have

 Good on SQL queries


Your future duties and responsibilities





#doubleglk



While technology is at the heart of our clients’ digital transformation, we understand that people are at the heart of business success.

When you join CGI, you become a trusted advisor, collaborating with colleagues and clients to bring forward actionable insights that deliver meaningful and sustainable outcomes. We call our employees “members” because they are CGI shareholders and owners and owners who enjoy working and growing together to build a company we are proud of. This has been our Dream since 1976, and it has brought us to where we are today — one of the world’s largest independent providers of IT and business consulting services.

At CGI, we recognize the richness that diversity brings. We strive to create a work culture where all belong and collaborate with clients in building more inclusive communities. As an equal-opportunity employer, we want to empower all our members to succeed and grow. If you require an accommodation at any point during the recruitment process, please let us know. We will be happy to assist.

Ready to become part of our success story? Join CGI — where your ideas and actions make a difference.

Qualified applicants will receive consideration for employment without regard to their race, ethnicity, ancestry, color, sex, religion, creed, age, national origin, citizenship status, disability, pregnancy, medical condition, military and veteran status, marital status, sexual orientation or perceived sexual orientation, gender, gender identity, and gender expression, familial status, political affiliation, genetic information, or any other legally protected status or characteristics.

CGI provides reasonable accommodations to qualified individuals with disabilities. If you need an accommodation to apply for a job in the U.S., please email the CGI U.S. Employment Compliance mailbox at US_Employment_Compliance@cgi.com. You will need to reference the requisition number of the position in which you are interested. Your message will be routed to the appropriate recruiter who will assist you. .

We make it easy to translate military experience and skills! Click here to be directed to our site that is dedicated to veterans and transitioning service members.

All CGI offers of employment in the U.S. are contingent upon the ability to successfully complete a background investigation. Background investigation components can vary dependent upon specific assignment and/or level of US government security clearance held. CGI will consider for employment qualified applicants with arrests and conviction records in accordance with all local regulations and ordinances.

CGI will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with CGI’s legal duty to furnish information.",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting,https://www.linkedin.com/jobs/view/business-analyst-data-analyst-at-cgi-3195591529?refId=ishp48tN%2F38FWw3Cyk0vow%3D%3D&trackingId=94juEa3N%2BDsgrLl%2FGyIKJg%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
2022-09-18,PNC,Data Analytics Development Program Analyst/Associate,"Pittsburgh, PA","R112902

Job Profile

Position Overview

At PNC, our people are our greatest differentiator and competitive advantage in the markets we serve. We are all united in delivering the best experience for our customers. We work together each day to foster an inclusive workplace culture where all of our employees feel respected, valued and have an opportunity to contribute to the company’s success. As an Analyst within PNC's Data Analytics organization, you will be based in Pittsburgh, PA.


By joining one of PNC’s Development Programs, you can explore your potential through hands-on experience in a professional environment. This is an excellent opportunity to begin exploring your career goals, in addition to growing your skills in key areas. The goal of PNC’s Development Programs is to move analysts and associates from development roles into production roles in one of PNC’s lines of business.

The Corporate & Institutional Banking (C&IB) and Asset Management Group (AMG) divisions are high-growth businesses within PNC committed to driving its growth through the use of advanced analytics and data science. The Data Analytics Development Program provides its associates with the opportunity to gain exposure to both divisions. Associates in this program will support these businesses by providing analytical foresight and insight to help make effective business decisions related to client growth, product performance, operations and other business strategies.

Through coursework and projects, associates will gain proficiency in a wide range of advanced analytical techniques to manipulate, analyze, interpret, and visualize various types, structures and volumes of data across C&IB and AMG. Associates will be fully embedded within the lines of businesses during the 18 month program enabling them to gain the necessary business knowledge to develop data products that meet the needs of the organization. Associates will gain exposure to commercial portfolio analytics, data engineering, machine learning and data visualization. It is expected that upon completion of the program, associates will have a strong background in data analysis, computational modeling, programming languages and frameworks (SQL, Python, R, etc.), product development and deployment, exposure to the C&IB and AMG big data ecosystem and the ability to generate data-driven insights for the organization.

Based on business need and upon successful completion of the Data Analytics Development Program, associates will be placed in a role that provides the opportunity to work in a number of analytics disciplines including Data Science, Business Analytics and Visualization.

Opportunities in the Data Analytics Development Program are primarily located in Pittsburgh.

Learn more about PNC’s Development Programs on www.pnc.jobs/students.


Participates as an analyst/associate in the line of business development program.




PNC provides equal opportunity to qualified persons regardless of race, color, sex, religion, national origin, age, sexual orientation, gender identity, disability, veteran status, or other categories protected by law.


Accuracy and Attention to Detail – Understanding of the necessity and value of accuracy and attention to detail; ability to process information with high levels of accuracy.

Analytical Thinking – Knowledge of techniques and tools that promote effective analysis and the ability to determine the root cause of organizational problems and create alternative solutions that resolve the problems in the best interest of the business.

Business Acumen – Knowledge, insight, and understanding of business concepts, tools, and processes that are needed for making sound decisions in the context of the company's business; ability to apply this knowledge appropriately to diverse situations.

Effective Communications – Understanding of effective communication concepts, tools and techniques; ability to effectively transmit, receive, and accurately interpret ideas, information, and needs through the application of appropriate communication behaviors.

Flexibility and Adaptability – Knowledge of successful approaches, tools, and techniques for dealing with changes and adapting to a changing environment; ability to adapt as needed.

Information Capture – Knowledge of the processes and the ability to identify, capture and document relevant business information in an auditable, organized, understandable and easily retrievable manner.

Products and Services – Knowledge of major products and services and product and service groups; ability to apply this knowledge appropriately to diverse situations.

Project Management – Ability to plan, organize, monitor, and control projects, ensuring efficient utilization of technical and administrative resources, to achieve project objectives.

Self-Directed Growth and Development – Understanding of the necessity of continuous personal growth; ability to gauge one's strengths, limitations and interests, and use of this knowledge for purposes of performance effectiveness and self-development.


Roles at this level are filled by recent university / college graduates with little or no professional experience, but possessing relevant skills. Includes individuals joining the organization through a Corporate development/ training program. In lieu of a degree, a comparable combination of education and experience (including military service) may be considered.


Bachelors



PNC offers employees a comprehensive range of benefits to help meet your needs now and in the future. Depending on your eligibility, options for full-time employees include medical/prescription drug coverage (with a Health Savings Account feature); dental and vision options; employee and spouse/child life insurance; short- and long-term disability protection; maternity and parental leave; paid holidays, vacation days and occasional absence time; 401(k), pension and stock purchase plans; dependent care reimbursement account; back-up child/elder care; adoption assistance; educational assistance and a robust wellness program with financial incentives. To learn more about these and other programs, including benefits for part-time employees, visit pncbenefits.com > New to PNC.


The PNC workplace is inclusive and supportive of individual needs. If you have a physical or other impairment that might require an accommodation, including technical assistance with the PNC Careers website or submission process, please call 877-968-7762 and select Option 4: Recruiting or contact us via email at pathfinder@pnc.com.

The Human Resources Service Center hours of operation are Monday - Friday 9:00 AM to 5:00 PM ET.


PNC provides equal employment opportunity to qualified persons regardless of race, color, sex, religion, national origin, age, sexual orientation, gender identity, disability, veteran status, or other categories protected by law.


Refer to the California Consumer Privacy Act Privacy Notice to gain understanding of how PNC may use or disclose your personal information in our hiring practices.",Not Applicable,Full-time,Other,Financial Services,https://www.linkedin.com/jobs/view/data-analytics-development-program-analyst-associate-at-pnc-3311183240?refId=ishp48tN%2F38FWw3Cyk0vow%3D%3D&trackingId=MRPFepvthWrhqSoBbO%2B%2FSA%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
2022-09-18,PNC,Data Analytics Undergraduate Intern,"Pittsburgh, PA","R112864

Job Profile

Position Overview

At PNC, our people are our greatest differentiator and competitive advantage in the markets we serve. We are all united in delivering the best experience for our customers. We work together each day to foster an inclusive workplace culture where all of our employees feel respected, valued and have an opportunity to contribute to the company’s success. As an Intern within PNC's Data Analytics organization, you will be based in Pittsburgh, PA.


As a PNC Intern, you will participate in a “best-in-class” internship program. During this 10-week program, you will have the opportunity to gain exposure to a specific line of business, expand the tools you need to launch your career and complement your education with real-world experience.

The Corporate & Institutional Banking (C&IB) and Asset Management Group (AMG) divisions are high-growth businesses within PNC committed to driving its growth through the use of advanced analytics and data science. The Data Analytics Internship Program provides interns with the opportunity to gain exposure to both divisions. Interns will support these businesses by providing analytical foresight and insight to help make effective business decisions related to client growth, product performance, operations and other business strategies.

Interns will gain exposure to a wide range of advanced analytical techniques to manipulate, analyze, interpret, and visualize various types, structures and volumes of data across C&IB and AMG. Interns will gain exposure to commercial portfolio analytics, data engineering, machine learning, and data visualization. It is expected that upon completion of the program, interns will have a stronger background in data analysis, computational modeling, programming languages and frameworks (SQL, Python, R, etc.), product development and deployment, exposure to the C&IB and AMG big data ecosystem and the ability to generate data-driven insights for the organization.

The Summer Internship Program is a direct pipeline for talent to the C&IB and AMG divisions, providing interns with an unparalleled opportunity to learn the business while gaining visibility among the firm’s senior leadership.

Opportunities in the Data Analytics Internship Program are primarily located in Pittsburgh.

Learn more about PNC’s Summer Internship by visiting www.pnc.jobs/students.


Participates as an intern in the PNC summer internship program.




PNC provides equal opportunity to qualified persons regardless of race, color, sex, religion, national origin, age, sexual orientation, gender identity, disability, veteran status, or other categories protected by law.


Accuracy and Attention to Detail – Understanding of the necessity and value of accuracy and attention to detail; ability to process information with high levels of accuracy.

Analytical Thinking – Knowledge of techniques and tools that promote effective analysis and the ability to determine the root cause of organizational problems and create alternative solutions that resolve the problems in the best interest of the business.

Effective Communications – Understanding of effective communication concepts, tools and techniques; ability to effectively transmit, receive, and accurately interpret ideas, information, and needs through the application of appropriate communication behaviors.

Flexibility and Adaptability – Knowledge of successful approaches, tools, and techniques for dealing with changes and adapting to a changing environment; ability to adapt as needed.

Information Capture – Knowledge of the processes and the ability to identify, capture and document relevant business information in an auditable, organized, understandable and easily retrievable manner.

Initiative – Understanding of the value of self-motivation and initiative; ability and willingness to seek out work and the drive to accomplish goals.

Products and Services – Knowledge of major products and services and product and service groups; ability to apply this knowledge appropriately to diverse situations.

Self-Directed Growth and Development – Understanding of the necessity of continuous personal growth; ability to gauge one's strengths, limitations and interests, and use of this knowledge for purposes of performance effectiveness and self-development.


Roles at this level are filled by recent university / college graduates with little or no professional experience, but possessing relevant skills. Includes individuals joining the organization through a Corporate development/ training program. In lieu of a degree, a comparable combination of education and experience (including military service) may be considered.


No Degree



PNC offers employees a comprehensive range of benefits to help meet your needs now and in the future. Depending on your eligibility, options for full-time employees include medical/prescription drug coverage (with a Health Savings Account feature); dental and vision options; employee and spouse/child life insurance; short- and long-term disability protection; maternity and parental leave; paid holidays, vacation days and occasional absence time; 401(k), pension and stock purchase plans; dependent care reimbursement account; back-up child/elder care; adoption assistance; educational assistance and a robust wellness program with financial incentives. To learn more about these and other programs, including benefits for part-time employees, visit pncbenefits.com > New to PNC.


The PNC workplace is inclusive and supportive of individual needs. If you have a physical or other impairment that might require an accommodation, including technical assistance with the PNC Careers website or submission process, please call 877-968-7762 and select Option 4: Recruiting or contact us via email at pathfinder@pnc.com.

The Human Resources Service Center hours of operation are Monday - Friday 9:00 AM to 5:00 PM ET.


PNC provides equal employment opportunity to qualified persons regardless of race, color, sex, religion, national origin, age, sexual orientation, gender identity, disability, veteran status, or other categories protected by law.


Refer to the California Consumer Privacy Act Privacy Notice to gain understanding of how PNC may use or disclose your personal information in our hiring practices.",Not Applicable,Full-time,Other,Financial Services,https://www.linkedin.com/jobs/view/data-analytics-undergraduate-intern-at-pnc-3344278094?refId=ishp48tN%2F38FWw3Cyk0vow%3D%3D&trackingId=mD7Ij2Vb8tUys4W9XPXTRw%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
2022-09-18,gpac,Data Analyst,"Pittsburgh, PA","Job Description

An exciting Telecom company is looking to grow out their team! Great pay, great benefits.


This data analyst will work on analysis of projects with clients post project sale to develop new analytic products and physical technics. The client industry is distribution of building materials. Their legacy is in pricing analytics and mining data to help answer profitability questions, sales growth, and existing product retention.



Please submit a resume for consideration. Only those qualified applicants with a provided resume will be contacted.

If you would like to learn more about Telecommunications opportunities, contact with gpac at

jason.brown@gogpac.com

or

605-679-9941

All qualified applicants will receive consideration without regard to race, age, color, sex (including pregnancy), religion, national origin, disability, sexual orientation, gender identity, marital status, military status, genetic information, or any other status protected by applicable laws or regulations.

GPAC (Growing People and Companies) is an award-winning search firm specializing in placing quality professionals within multiple industries across the United States since 1990. We are extremely competitive, client-focused and realize that our value is in our ability to deliver the right solutions at the right time.",Not Applicable,Full-time,Information Technology,Telecommunications,https://www.linkedin.com/jobs/view/data-analyst-at-gpac-3348767701?refId=ishp48tN%2F38FWw3Cyk0vow%3D%3D&trackingId=bI6brAGmr2rQN%2FCxqmpk5w%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
2022-09-18,Carnegie Mellon University,RIMS Data Analyst - University Libraries,"Pittsburgh, PA","Job Summary/Overview:

Carnegie Mellon’s University Libraries is a team that builds campus-wide integrated data systems that collect and present data related to the academic outputs of faculty and research staff across CMU’s campus. The data these systems house include scholarly publication records, grants records, research equipment records, teaching activities, committee service work, and other professional activities. At the center of this suite of data systems is a recently launched research information management system (RIMS), Symplectic Elements. We are looking for a data analyst to help us build data processing tools, reports, and data visualizations that will be used by dean’s offices, department chairs, and other administrators across campus as decision support tools that inform resource allocation decisions, campus committee assignments, and accreditation activities, as well as reappointment, promotion, and tenure decisions.

Carnegie Mellon University’s department of University Libraries is searching for a RIMS Data Analyst. This is a dynamic opportunity for someone who thrives in an interesting and exciting work environment. You will contribute to the department by providing vital support by providing software development and data analysis support for the Elements Research Information Management platform and other associated projects in the areas of scholarly communication and research output/tracking. This individual will be expected to be proficient in SQL, Tableau, and at least one scripting language. This person should also have experience querying RESTful APIs.

Your core responsibilities will include:


Flexibility, excellence, and passion are vital qualities within the University Libraries. Inclusion, collaboration and cultural sensitivity are valued proficiencies at CMU. Therefore, we are in search of a team member who is able to optimally interact with a varied population of internal and external partners at a high level of integrity. We are looking for someone who shares our values and who will support the mission of the university through their work.

You should demonstrate:







As a condition of employment, Carnegie Mellon University requires all staff and faculty working in the United States to be fully vaccinated, including a booster when eligible, against COVID-19. Prior to commencement of employment, new hires in the United States must provide proof of vaccination or obtain an approved exemption. (Exemptions may be requested for medical reasons or for religious or strong moral or ethical conviction.) Those granted an exemption must comply with all applicable COVID-19 mitigation requirements. The most up-to-date information on CMU's COVID-19 mitigation requirements can be found here: Minimum Requirements to Return to Campus.


Pittsburgh, PA


Data Analysis


Staff – Fixed Term (Fixed Term)


Full time


Salary",Entry level,Full-time,Information Technology,Higher Education,https://www.linkedin.com/jobs/view/rims-data-analyst-university-libraries-at-carnegie-mellon-university-3330704455?refId=ishp48tN%2F38FWw3Cyk0vow%3D%3D&trackingId=BuRBMqYrFZwzBVL4xe%2FLmA%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
2022-09-18,Cohen & Company,Data Specialist,"Pittsburgh, PA","Cohen & Company

Certified Public Accountants

At Cohen & Company, our purpose is to engage, teach, inspire, and improve lives through the power of knowledge and trust. We value great people, teamwork, a competitive spirit and courage, and the ability to adapt and remain optimistic.

Named one of the fastest growing private companies in the country, Cohen & Company offers assurance, tax, and advisory services to clients throughout the U.S. and worldwide. The firm serves a broad range of clients, from privately held companies and their owners; to private equity firms and their portfolio companies; to public and private funds, advisers, and fund service providers within the investment industry; to Fortune 1000 multinational enterprises. Cohen & Company was founded in 1977 and has more than 650 associates in Illinois, Ohio, Maryland, Michigan, New York, Pennsylvania, and Wisconsin. Learn more at cohencpa.com. Member PCAOB.

Our Data Intelligence Services (DIS) team is seeking talented individuals in the role of There will be some travel to other office locations (less than 10%).



The DIS team, an integral part of our Technology Services organization, works closely with key internal and external stakeholders in analyzing, enhancing, standardizing, and automating data workflows/processes. The DIS team supports and impacts all the firm’s service lines, industry verticals and internal business functions.

The Data Specialist focused on Tax Services will be a member of the DIS team with a concentrated focus on improving and supporting Tax processes and engagements. To learn more about our Tax team, click here.

The Data Specialist focused on Assurance Services will be a member of the DIS team with a concentrated focus on improving and supporting Assurance processes and engagements. To learn more about our Assurance team, click here.
















Learn more about Cohen & Company at www.cohencpa.com and www.cohencpa.jobs .

We are an equal opportunity employer and value diversity of thought and background to build an inclusive and energized culture and better meet the needs of our clients.",Entry level,Full-time,Information Technology,Accounting,https://www.linkedin.com/jobs/view/data-specialist-at-cohen-company-3332040497?refId=ishp48tN%2F38FWw3Cyk0vow%3D%3D&trackingId=5CKnggzmulX11F86iMpTtw%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
2022-09-18,Alcoa,Data Management Analyst - Remote,"New Kensington, PA","Just as aluminum is the element of possibility, so too, are our current and future employees. We relentlessly pursue outstanding and sustainable results and creatively transform ideas into value. At Alcoa you can quickly make your mark, impact your world and grow your career. Alcoa is a truly global company with many locations worldwide. Alcoa’s U.S. portfolio includes Alcoa's corporate headquarters (ACC), Alcoa's Technology Center (ATC), four smelters, hydroelectric power and a calcined coke plant. While some roles are based on-site, Alcoa also offers a flexible working model for certain positions. Come learn what’s possible for you!


As a Enterprise Data Management Analyst in the Data Hub organization this role will be responsible for delivering Data Governance within an Enterprise Data Management function. Their scope is Alcoa wide and will interact with both the Enterprise & Operations Spokes that have the responsibility for delivery of Data Management & Analytics solutions to their respective enterprise and operations customers.

We are also seeking experience in Enterprise Data Management governance and tools that include the areas of master data management, metadata and cataloging, data quality and compliance and data governance including policy creation covering data access and retention.",Mid-Senior level,Full-time,Information Technology,Mining,https://www.linkedin.com/jobs/view/data-management-analyst-remote-at-alcoa-3305813059?refId=ishp48tN%2F38FWw3Cyk0vow%3D%3D&trackingId=%2BIhvTFzBZcl9WVF8MXXmpg%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
2022-09-18,Robert Half,Data Reporting Analyst,"Pittsburgh, PA",,,,,,https://www.linkedin.com/jobs/view/data-reporting-analyst-at-robert-half-3339231531?refId=ishp48tN%2F38FWw3Cyk0vow%3D%3D&trackingId=UCXXJH5uo48cc2G8A2P%2Bdw%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
2022-09-18,Genesis10,Operations - Analytics Analyst I,"Pittsburgh, PA","Genesis10 is seeking an Analytics Analyst I for a 6-month contract with a financial services client located Pittsburgh, PA. This position is remote to start.

Summary:",Entry level,Contract,Business Development and Sales,IT Services and IT Consulting,https://www.linkedin.com/jobs/view/operations-analytics-analyst-i-at-genesis10-3305468483?refId=ishp48tN%2F38FWw3Cyk0vow%3D%3D&trackingId=1zybptCsu4X5u9ZrKoSdyQ%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
2022-09-18,BNY Mellon,"Analyst, Data Management & Quantitative Analysis","Pittsburgh, PA","Job Description

Our Team:

Enterprise Data Management is focused on delivering the firm’s master data strategy, implementing enterprise data policies & governance, driving a holistic access to data via our data Lake, and enabling the business to deliver advanced outcomes for ourselves and our customers using AI/ML techniques.

In the process of focusing on this agenda - we participate in the remediation of data centric regulation. We help our operations teams transform how we operate, while optimizing our data centric cost structure and reducing our operating & regulatory risk, and provide innovative, data centric commercial opportunities.





Advanced degree in quantitative analysis preferred.0-2 years experience preferred. Experience in quantitative finance and technology preferred.. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer. Minorities/Females/Individuals with Disabilities/Protected Veterans. Our ambition is to build the best global team – one that is representative and inclusive of the diverse talent, clients and communities we work with and serve – and to empower our team to do their best work. We support wellbeing and a balanced life, and offer a range of family-friendly, inclusive employment policies and employee forums.",Not Applicable,Full-time,Information Technology,Financial Services,https://www.linkedin.com/jobs/view/analyst-data-management-quantitative-analysis-at-bny-mellon-3338765692?refId=To2lCmyeEBCh64849QjHDA%3D%3D&trackingId=xsMIfxNiyHU31isdFpELzw%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
2022-09-18,Staffigo,Entry Level Data Analyst,"Pittsburgh, PA","About Us

Staffigo is in the business of providing IT Consulting Services to clients in various industries in the United States - Healthcare (Payer, Providers & Clearinghouses), Finance & Banking, Retail & e-commerce. We are currently seeking exceptional entry-level talent for the below role.





We do not discriminate based on race, color, religion, marital status, age, national origin, ancestry, physical or mental disability, medical condition, pregnancy, genetic information, gender, sexual orientation, gender identity or expression, veteran status, or any other status protected under federal, state, or local law.

Powered by JazzHR",Entry level,Full-time,Information Technology,IT Services and IT Consulting,https://www.linkedin.com/jobs/view/entry-level-data-analyst-at-staffigo-3331791750?refId=To2lCmyeEBCh64849QjHDA%3D%3D&trackingId=xQlsUuZ1QFFJNY4%2Bm14O9A%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
